FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2023/2024,8,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Contributions in Support of the Integrated Aboriginal Programs Management Framework,Contributions à l'appui du cadre de gestion intégrée pour les programmes de contributions Autochtones,Central Coast Commercial Fisheries Limited Partnership,Central Coast Commercial Fisheries Limited Partnership,Campbell River,Campbell River,British Columbia,Colombie-Britannique,,,0,497000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Primary Health Care,Contributions aux soins de santé primaires des Premières Nations et des Inuits,Centre multiservice pour Autochtones en milieu urbain de Kébek - Mamuk,Centre multiservice pour Autochtones en milieu urbain de Kébek - Mamuk,Québec,Québec,Quebec,Québec,,,0,245000
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,BreatheSuite Inc,BreatheSuite Inc,St. John's,Saint-Jean de Terre-Neuve,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,,0,371000
2023/2024,32,"Women, Gender Equality and Youth","Femmes, Égalité des genres et Jeunesse",190,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,Women's Program - Contributions to women's and other voluntary organizations for the purpose of furthering women's participation in Canadian society,Programme de promotion de la femme - Contributions à des organismes de femmes et à d'autres organismes bénévoles dans le but de promouvoir la participation des femmes à la société canadienne,Government of Ontario,Gouvernement de l'Ontario,Oshawa,Oshawa,Ontario,Ontario,,,0,2800000
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions to the Canada Cultural Spaces Fund,Contributions pour le Fonds du Canada pour les espaces culturels,Hornby Island Arts Council,Hornby Island Arts Council,Hornby,Hornby,British Columbia,Colombie-Britannique,,,0,313924
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market","Paiements aux provinces, aux territoires, aux municipalités, aux autres organismes publics, aux organisations, aux groupes, aux collectivités, aux employeurs et aux particuliers afin de pourvoir à la formation ou à l'expérience de travail, à la mobilisation des ressources communautaires et aux mesures de planification et d'adaptation de ressources humaines nécessaires au fonctionnement efficace du marché du travail canadien",Nuu chah nulth Tribal Council,Conseil tribal Nuu chah nulth,Port Alberni,Port Alberni,British Columbia,Colombie-Britannique,,,0,1102622
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,"Contributions to support the negotiation and implementation of Treaties, Claims and self-government agreements or initiatives","Contributions pour appuyer la négociation et la mise en oeuvre d'ententes ou d'initiatives de traités, de revendications et d'autonomie gouvernementale","Mamaweswen, The North Shore Tribal Council Secretariat","Mamaweswen, The North Shore Tribal Council Secretariat",Cutler,Cutler,Ontario,Ontario,,,0,861389
2023/2024,17,Natural Resources,Ressources naturelles,041,Department of Natural Resources,Ministère des Ressources naturelles,Contributions in support of Energy Efficiency,Contributions à l'appui de l'efficacité énergétique,Écohabitation,Écohabitation,Montréal,Montréal,Quebec,Québec,,,0,139314
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,Bluedrop Training & Simulation,Bluedrop Training & Simulation,St. John's,Saint-Jean de Terre-Neuve,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,,0,900000
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,One Cup Productions Ltd,One Cup Productions Ltd,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,114925
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support service transfer and transformation,Contributions pour appuyer les transferts de services et transformation,Ucwalmicw All Nations Services Society,Ucwalmicw All Nations Services Society,Abbotsford,Abbotsford,British Columbia,Colombie-Britannique,,,0,250000
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Contributions to support the Indigenous Nation Rebuilding Initiative,Contributions pour appuyer l'initiative de reconstruction des nations autochtones,Battle River Indigenous Relations Council Inc,Battle River Indigenous Relations Council Inc,Battleford,Battleford,Saskatchewan,Saskatchewan,,,0,146955
2023/2024,9,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Contributions from the International Development Assistance for Bilateral Programming to support regional or country specific,Contributions du programme d'aide au développement international pour la programmation bilatérale visant des régions ou pays donnés,Agence Française de Développement,Agence Française de Développement,Paris,Paris,,,France,France,0,2000000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support the construction and maintenance of community infrastructure,Contributions pour appuyer la construction et l'entretien des infrastructures communautaires,Wagmatcook Band Council,Wagmatcook Band Council,Wagmatcook,Wagmatcook,Nova Scotia,Nouvelle-Écosse,,,0,3623565
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,(S) Canada Education Savings Grant payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children (Canada Education Savings Act),(S) Paiements de Subventions canadiennes pour l'épargne-études aux fiduciaires de régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'encourager les Canadiens à épargner pour les études postsecondaires de leurs enfants (Loi canadienne sur l'épargne-études),MD Management Ltd,Gestion MD ltée,Ottawa,Ottawa,Ontario,Ontario,,,0,5739583
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Health Infrastructure Support,Contributions au soutien à l'infrastructure de la santé des Premières Nations et des Inuits,Treaty 8 First Nations of Alberta,Treaty 8 First Nations of Alberta,Edmonton,Edmonton,Alberta,Alberta,,,0,1274260
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Supplementary Health Benefits,Contributions aux prestations supplémentaires en santé des Premières Nations et des Inuits,Tobique Band Council,Tobique Band Council,Tobique First Nation,Tobique First Nation,New Brunswick,Nouveau-Brunswick,,,0,691230
2023/2024,8,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Contributions in Support of Aquatic Species and Aquatic Habitat,Contributions à l'appui des espèces et l'habitat aquatiques,Kwantlen Lands Resources and Stewardship Ltd,Kwantlen Lands Resources and Stewardship Ltd,Langley,Langley,British Columbia,Colombie-Britannique,,,0,1327447
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,Forward Security Inc,Forward Security Inc,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,140000
2023/2024,29,Infrastructure and Communities,Infrastructure et Collectivités,142,Office of Infrastructure of Canada,Bureau de l'infrastructure du Canada,New Building Canada Fund-Provincial-Territorial Infrastructure Component-National and Regional Projects,Nouveau Fonds Chantiers Canada - Volet Infrastructures provinciales et territoriales - Projets nationaux et régionaux,The Corporation of Massey Hall and Roy Thomson Hall,La Corporation du Massey Hall et du Roy Thomson Hall,Toronto,Toronto,Ontario,Ontario,,,0,300000
2023/2024,15,Justice,Justice,013,Department of Justice,Ministère de la Justice,Contributions under the Victims Fund,Contributions versées en vertu du Fonds d'aide aux victimes,Archway Society for Domestic Peace,Archway Society for Domestic Peace,Vernon,Vernon,British Columbia,Colombie-Britannique,,,0,150000
2023/2024,6,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Contributions in support of the Canada Nature Fund,Contributions à l'appui du Fonds canadien pour la nature,Yamoga Land Corporation,Yamoga Land Corporation,Fort Good Hope,Fort Good Hope,Northwest Territories,Territoires du Nord-Ouest,,,0,1000000
2023/2024,6,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Contributions in support of Preventing and Managing Pollution,Contributions à l'appui de la prévention et de la gestion de la pollution,Royal Botanical Gardens,Royal Botanical Gardens,Burlington,Burlington,Ontario,Ontario,,,0,150000
2023/2024,11,Health,Santé,022,Department of Health,Ministère de la Santé,Substance Use and Addictions Program,Programme sur l'usage et les dépendances aux substances,Métis Nation of British Columbia,Métis Nation of British Columbia,Surrey,Surrey,British Columbia,Colombie-Britannique,,,0,118814
2023/2024,6,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Contributions in support of the Canada Nature Fund,Contributions à l'appui du Fonds canadien pour la nature,Aq'am,Aq'am,Cranbrook,Cranbrook,British Columbia,Colombie-Britannique,,,0,300000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,"Contributions to support Indigenous governments and institutions, and to build strong governance","Contributions pour appuyer les gouvernements et les institutions autochtones, et pour bâtir une gouvernance solide",Lac La Croix First Nation,Lac La Croix First Nation,Fort Frances,Fort Frances,Ontario,Ontario,,,0,209395
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Primary Health Care,Contributions aux soins de santé primaires des Premières Nations et des Inuits,Peepeekisis Cree Nation No.81,Peepeekisis Cree Nation No.81,Balcarres,Balcarres,Saskatchewan,Saskatchewan,,,0,494863
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Supplementary Health Benefits,Contributions aux prestations supplémentaires en santé des Premières Nations et des Inuits,Spinal Cord Injury Association Alberta,Spinal Cord Injury Association Alberta,Edmonton,Edmonton,Alberta,Alberta,,,0,126405
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Grants to the Canada Periodical Fund,Subventions pour le Fonds du Canada pour les périodiques,Metroland Media Group Ltd,Metroland Media Group Ltd,Toronto,Toronto,Ontario,Ontario,,,0,1243292
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions to the Canada Cultural Spaces Fund,Contributions pour le Fonds du Canada pour les espaces culturels,Animation centre-ville Sherbrooke,Animation centre-ville Sherbrooke,Sherbrooke,Sherbrooke,Quebec,Québec,,,0,120121
2023/2024,5,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Settlement Program,Programme d'établissement,SPEC Association for Children and Families,SPEC Association for Children and Families,Brooks,Brooks,Alberta,Alberta,,,0,1053457
2023/2024,1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Contributions for the Innovative Communities Fund,Contributions pour le Fonds des collectivités innovatrices,Beausejour Family Crisis Resource Centre Inc,Centre de Ressources et de Crises,Shediac,Shediac,New Brunswick,Nouveau-Brunswick,,,0,176779
2023/2024,19,Privy Council,Conseil privé,240,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,Contributions under the Regional Economic Growth through Innovation program,Contributions en vertu du programme Croissance économique régionale par l'innovation,FPS Food Process Solutions Corporation,FPS Food Process Solutions Corporation,Richmond,Richmond,British Columbia,Colombie-Britannique,,,0,262785
2023/2024,9,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Contributions from the International Development Assistance for Bilateral Programming to support regional or country specific,Contributions du programme d'aide au développement international pour la programmation bilatérale visant des régions ou pays donnés,PACT Inc,PACT Inc,Washington,Washington,District of Columbia,District fédéral de Columbia,,,0,1411080
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support the First Nations Post-Secondary Education Strategy,Contributions pour appuyer la Stratégie d'éducation postsecondaire des Premières Nations,Nisga'a Nation,Nisga'a Nation,New Aiyansh,New Aiyansh,British Columbia,Colombie-Britannique,,,0,418405
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions in support of the Development of Official-Language Communities Program,Contributions à l'appui du programme Développement des communautés de langue officielle,Segal Centre For Performing Arts,Centre Segal des arts de la Scène,Montréal,Montréal,Quebec,Québec,,,0,1868859
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions for the Sport Support Program,Contributions au Programme de soutien au sport,Csa Surf Canada,Csa Surf Canada,Victoria,Victoria,British Columbia,Colombie-Britannique,,,0,134525
2023/2024,22,Transport,Transports,034,Department of Transport,Ministère des Transports,Incentives for Zero-Emission Vehicles Program,Programme d'incitatifs pour l'utilisation de véhicules zéro émission,Ste-Foy Nissan Inc,Ste-Foy Nissan Inc,Québec,Québec,Quebec,Québec,,,0,340000
2023/2024,36,Prairies and Canadian Northern Economic Development,Développement économique des Prairies et du Nord canadien,044,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,Contributions for the Western Diversification Program,Contributions destinées au Programme de diversification de l'économie de l'Ouest,Community Futures Pan West Network Inc,Community Futures Pan West Network Inc,Winnipeg,Winnipeg,Manitoba,Manitoba,,,0,1800000
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Grant under the Innovative Solutions Canada program,Subvention au programme Solutions innovatrices Canada,719399 NB Corp,719399 NB Corp,Hopewell Hill,Hopewell Hill,New Brunswick,Nouveau-Brunswick,,,0,209534
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Contributions to support access to healthy foods in isolated northern communities,Contributions pour appuyer l'accès aux aliments sains dans les collectivités isolées du Nord,The North West Company,The North West Company,Winnipeg,Winnipeg,Manitoba,Manitoba,,,0,71524970
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Grants to the Canada Periodical Fund,Subventions pour le Fonds du Canada pour les périodiques,Farms.Com Canada Inc,Farms.Com Canada Inc,Guelph,Guelph,Ontario,Ontario,,,0,185268
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support Land Management and Economic Development,Contributions pour appuyer la gestion des terres et le développement économique,Wskijinu'k Mtmo'taqnouw Agency Ltd,Wskijinu'k Mtmo'taqnouw Agency Ltd,Millbrook,Millbrook,Nova Scotia,Nouvelle-Écosse,,,0,1475000
2023/2024,19,Privy Council,Conseil privé,240,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,Contributions for the Western Diversification Program,Contributions destinées au Programme de diversification de l'économie de l'Ouest,District of Sparwood,District of Sparwood,Sparwood,Sparwood,British Columbia,Colombie-Britannique,,,0,297708
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to provide income support to on-reserve residents and Status Indians in the Yukon Territory,Contributions visant à fournir un soutien au revenu aux personnes qui habitent dans les réserves indiennes et aux Indiens inscrits du territoire du Yukon,Wunnumin Lake First Nation,Wunnumin Lake First Nation,Wunnumin Lake,Wunnumin Lake,Ontario,Ontario,,,0,722384
2023/2024,26,Economic development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Contributions under the Community Futures Program,Contributions en vertu du Programme de développement des collectivités,Centre d'aide aux entreprises Haute Montérégie,Centre d'aide aux entreprises Haute Montérégie,Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Quebec,Québec,,,0,359411
2023/2024,8,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Contributions in Support of the Integrated Aboriginal Programs Management Framework,Contributions à l'appui du cadre de gestion intégrée pour les programmes de contributions Autochtones,Abegweit First Nation,Abegweit First Nation,Mount Stewart,Mount Stewart,Prince Edward Island,Île-du-Prince-Édouard,,,0,549008
2023/2024,17,Natural Resources,Ressources naturelles,041,Department of Natural Resources,Ministère des Ressources naturelles,Grants in support of the Green Freight Program,Subventions à l'appui du programme de transport écoénergétique de marchandises,KJS Transport Inc,KJS Transport Inc,Brampton,Brampton,Ontario,Ontario,,,0,113480
2023/2024,1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Contributions for the Innovative Communities Fund,Contributions pour le Fonds des collectivités innovatrices,Wolfville Farmers Market Co-operative Limited,Wolfville Farmers Market Co-operative Limited,Wolfville,Wolfville,Nova Scotia,Nouvelle-Écosse,,,0,126164
2023/2024,21,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales",088,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,Contributions in support of the Safer Communities Initiative,Contributions pour soutenir l'Initiative pour des communautés plus sûres,John Howard Society of Saskatchewan,John Howard Society of Saskatchewan,Regina,Regina,Saskatchewan,Saskatchewan,,,0,625020
2023/2024,6,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Contributions in support of the Canada Nature Fund,Contributions à l'appui du Fonds canadien pour la nature,Qwelmínte Secwépemc,Qwelmínte Secwépemc,Kamloops,Kamloops,British Columbia,Colombie-Britannique,,,0,150000
2023/2024,22,Transport,Transports,034,Department of Transport,Ministère des Transports,Incentives for Zero-Emission Vehicles Program,Programme d'incitatifs pour l'utilisation de véhicules zéro émission,9201-4490 Québec Inc,9201-4490 Québec Inc,Saint-Eustache,Saint-Eustache,Quebec,Québec,,,0,510000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for emergency management assistance for activities on reserves,Contributions pour appuyer la gestion des urgences dans le cadre des activités dans les réserves,Saddle Lake Cree Nation,Saddle Lake Cree Nation,Saddle Lake,Saddle Lake,Alberta,Alberta,,,0,1278136
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to increase First Nations and Inuit Youth Participation in Education and Labour Market Opportunities,Contributions visant à accroître la participation des jeunes Inuits et des Premières Nations aux possibilités en éducation et sur le marché du travail,Nipissing First Nation,Nipissing First Nation,Garden Village,Garden Village,Ontario,Ontario,,,0,239100
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Indigenous Early Learning and Child Care Transformation Initiative,Initiative de transformation de l'apprentissage et de la garde des jeunes enfants autochtones,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Gatineau,Gatineau,Quebec,Québec,,,0,827717
